name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
AMD Ryzen 9 3900X,255,,12,3.8 GHz,4.6 GHz,Zen 2,105 W,None,4.5
Intel Core i7-4790K,123,,4,4 GHz,4.4 GHz,Haswell Refresh,88 W,Intel HD Graphics 4600,4.5
Intel Core i7-8700K,172,,6,3.7 GHz,4.7 GHz,Coffee Lake,95 W,Intel UHD Graphics 630,4.5
Intel Core i7-10700K,285.55,,8,3.8 GHz,5.1 GHz,Comet Lake,125 W,Intel UHD Graphics 630,4.5
Intel Core Ultra 5 225,159.99,https://cdna.pcpartpicker.com/static/forever/images/product/58a1d2f8d0a6d13c9a6bd33593b65980.1600.jpg,10,3.3 GHz,4.9 GHz,Arrow Lake,65 W,Intel Xe,0
Intel Core i7-7700K,133,,4,4.2 GHz,4.5 GHz,Kaby Lake,91 W,Intel HD Graphics 630,4.5
AMD Ryzen 9 7950X,448,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.1600.jpg,16,4.5 GHz,5.7 GHz,Zen 4,170 W,Radeon,4.5
Intel Core i9-13900K,458.99,https://cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.1600.jpg,24,3 GHz,5.8 GHz,Raptor Lake,125 W,Intel UHD Graphics 770,4.5
Intel Core i9-14900KS,598.99,https://cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.1600.jpg,24,3.2 GHz,6.2 GHz,Raptor Lake Refresh,150 W,Intel UHD Graphics 770,3
Intel Core i5-12400,202.6,,6,2.5 GHz,4.4 GHz,Alder Lake,65 W,Intel UHD Graphics 730,4.5
Intel Celeron G3930,31.63,,2,2.9 GHz,,Kaby Lake,51 W,Intel HD Graphics 610,0
Intel Core i7-6700K,100,,4,4 GHz,4.2 GHz,Skylake,91 W,Intel HD Graphics 530,4.5
AMD Ryzen 7 3800X,187.99,,8,3.9 GHz,4.5 GHz,Zen 2,105 W,None,4.5
Intel Core i5-9400F,,,6,2.9 GHz,4.1 GHz,Coffee Lake Refresh,65 W,None,4
AMD Ryzen 5 3400G,105.26,,4,3.7 GHz,4.2 GHz,Zen+,65 W,Radeon Vega 11,4.5
Intel Core i5-10400,149.11,,6,2.9 GHz,4.3 GHz,Comet Lake,65 W,Intel UHD Graphics 630,4.5
Intel Core i5-11400F,99.95,,6,2.6 GHz,4.4 GHz,Rocket Lake,65 W,None,4.5
Intel Core i3-10100F,102.27,,4,3.6 GHz,4.3 GHz,Comet Lake,65 W,None,4.5
AMD Ryzen 5 5500GT,112.99,https://cdna.pcpartpicker.com/static/forever/images/product/65f2a2e1999cd06b510b8ee145a2c14f.1600.jpg,6,3.6 GHz,4.4 GHz,Zen 3,65 W,Radeon Vega 7,4.5
AMD Ryzen 9 7900,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/119ef93ef95a60950418031082149c5b.256p.jpg,12,3.7 GHz,5.4 GHz,Zen 4,65 W,Radeon,4.5
Intel Core i9-12900KF,303.94,,16,3.2 GHz,5.2 GHz,Alder Lake,125 W,None,4.5
Intel Core i7-11700K,275,,8,3.6 GHz,5 GHz,Rocket Lake,125 W,Intel UHD Graphics 750,4.5
Intel Core Ultra 7 265F,338.99,https://cdna.pcpartpicker.com/static/forever/images/product/c00ff53f4acdc4d3992f146486edf1ff.1600.jpg,20,2.4 GHz,5.3 GHz,Arrow Lake,65 W,None,4.5
Intel Core i7-8700,145,,6,3.2 GHz,4.6 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,4.5
AMD Ryzen 5 2600X,145,,6,3.6 GHz,4.2 GHz,Zen+,95 W,None,4.5
Intel Core i7-12700F,253.94,,12,2.1 GHz,4.9 GHz,Alder Lake,65 W,None,4.5
Intel Core i5-13600KF,229.99,https://cdna.pcpartpicker.com/static/forever/images/product/d151778af9f52d6ab1f9475a0ae84dc0.1600.jpg,14,3.5 GHz,5.1 GHz,Raptor Lake,125 W,None,4.5
Intel Core i3-12100,178.94,,4,3.3 GHz,4.3 GHz,Alder Lake,60 W,Intel UHD Graphics 730,4.5
AMD Ryzen 5 4600G,,,6,3.7 GHz,4.2 GHz,Zen 2,65 W,Radeon Vega 7,4.5
Intel Core i5-6500,98,,4,3.2 GHz,3.6 GHz,Skylake,65 W,Intel HD Graphics 530,4.5
AMD Ryzen 9 7900X3D,510,https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.1600.jpg,12,4.4 GHz,5.6 GHz,Zen 4,120 W,Radeon,4.5
Intel Core i5-9600K,197,,6,3.7 GHz,4.6 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,0
Intel Core i5-8400,173.99,,6,2.8 GHz,4 GHz,Coffee Lake,65 W,Intel UHD Graphics 630,4.5
Intel Core i9-10900K,,,10,3.7 GHz,5.3 GHz,Comet Lake,125 W,Intel UHD Graphics 630,4.5
Intel Core i3-4150,55,,2,3.5 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4400,4.5
AMD Ryzen 5 9600,188.99,https://cdna.pcpartpicker.com/static/forever/images/product/27f7a8fb1bb5a1949879ec482c922757.1600.jpg,6,3.8 GHz,5.2 GHz,Zen 5,65 W,Radeon,5
AMD Ryzen 5 1600 (14nm),,,6,3.2 GHz,3.6 GHz,Zen,65 W,None,4.5
Intel Core i7-10700F,195,,8,2.9 GHz,4.8 GHz,Comet Lake,65 W,None,4.5
Intel Core i7-7700,125,,4,3.6 GHz,4.2 GHz,Kaby Lake,65 W,Intel HD Graphics 630,4.5
Intel Core i7-13700KF,314.99,https://cdna.pcpartpicker.com/static/forever/images/product/b2de198020c1bb1bda375064b94e60dc.1600.jpg,16,3.4 GHz,5.4 GHz,Raptor Lake,125 W,None,4.5
Intel Core i7-6700,90.66,,4,3.4 GHz,4 GHz,Skylake,65 W,Intel HD Graphics 530,4.5
Intel Core Ultra 9 285,539,https://cdna.pcpartpicker.com/static/forever/images/product/a051aaa938a14c4da1beb701532ad526.1600.jpg,24,2.5 GHz,5.6 GHz,Arrow Lake,65 W,Intel Xe,0
Intel Core i5-6600K,,,4,3.5 GHz,3.9 GHz,Skylake,91 W,Intel HD Graphics 530,4.5
Intel Core i5-4690,96,,4,3.5 GHz,3.9 GHz,Haswell Refresh,84 W,Intel HD Graphics 4600,4.5
