name,price,image,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,rating
AMD A4-6300,,,2,3.7 GHz,3.9 GHz,Piledriver,65 W,Radeon HD 8370D,4
Intel Xeon E5-2690,,,8,2.9 GHz,3.8 GHz,Sandy Bridge,135 W,None,0
Intel Xeon E5-2650 V2,,,8,2.6 GHz,3.4 GHz,Ivy Bridge,95 W,None,5
Intel Xeon E5-2643 V2,463.73,,6,3.5 GHz,3.8 GHz,Ivy Bridge,130 W,None,0
Intel Pentium G3250,,,2,3.2 GHz,,Haswell Refresh,53 W,Intel HD Graphics,4.5
Intel Pentium G3460,,,2,3.5 GHz,,Haswell Refresh,53 W,Intel HD Graphics,0
Intel Core i7-3770T,,,4,2.5 GHz,3.7 GHz,Ivy Bridge,45 W,Intel HD Graphics 4000,0
Intel Core i5-4670S,,,4,3.1 GHz,3.8 GHz,Haswell,65 W,Intel HD Graphics 4600,5
AMD A10-7870K,,,4,3.9 GHz,4.1 GHz,Steamroller,95 W,Radeon R7 (on-die),4.5
Intel Pentium G3470,,,2,3.6 GHz,,Haswell Refresh,53 W,Intel HD Graphics,5
Intel Xeon E3-1270 V5,,,4,3.6 GHz,4 GHz,Skylake,80 W,None,0
AMD Athlon X4 870K,,,4,3.9 GHz,4.1 GHz,Steamroller,95 W,None,4
Intel Celeron G3950,,,2,3 GHz,,Kaby Lake,51 W,Intel HD Graphics 610,0
Intel Xeon E5-2470V2,,,10,2.4 GHz,3.2 GHz,Ivy Bridge,95 W,None,0
AMD Athlon X4 970,,,4,3.8 GHz,4 GHz,Excavator,65 W,None,0
Intel Pentium Gold G5500,295,,2,3.8 GHz,,Coffee Lake,54 W,Intel UHD Graphics 630,0
Intel Core i3-9350K,,,4,4 GHz,4.6 GHz,Coffee Lake Refresh,91 W,Intel HD Graphics 630,0
Intel Xeon E-2246G,,,6,3.6 GHz,4.8 GHz,Coffee Lake Refresh,80 W,Intel HD Graphics P630,0
Intel Xeon E-2278G,,,8,3.4 GHz,5 GHz,Coffee Lake Refresh,80 W,Intel HD Graphics P630,0
Intel Celeron G4930,97,,2,3.2 GHz,,Coffee Lake,54 W,Intel UHD Graphics 610,0
Intel Core i3-10325,,,4,3.9 GHz,4.7 GHz,Comet Lake,65 W,Intel UHD Graphics 630,0
Intel Pentium G4400T,182.46,,2,2.9 GHz,,Skylake,35 W,Intel HD Graphics 510,0
Intel Pentium E5300,98.98,,2,2.6 GHz,,Wolfdale,65 W,None,3.5
Intel Xeon E5-2609,,,4,2.4 GHz,,Sandy Bridge,80 W,None,0
Intel Xeon E5-2650L V3,,,12,1.8 GHz,2.5 GHz,Haswell,65 W,None,0
Intel Xeon E-2124G,283.43,,4,3.4 GHz,4.5 GHz,Coffee Lake,71 W,Intel HD Graphics P630,0
AMD Athlon II X2 260,,,2,3.2 GHz,,K10,65 W,None,0
Intel Celeron 450,,,1,2.2 GHz,,Core,35 W,None,0
AMD Phenom II X4 925,,,4,2.8 GHz,,K10,95 W,None,5
AMD Phenom II X3 740 Black,,,3,3 GHz,,K10,95 W,None,5
Intel Core 2 Duo E4600,161.63,,2,2.4 GHz,,Core,65 W,None,0
Intel Pentium E5200,,,2,2.5 GHz,,Wolfdale,65 W,None,4
Intel Pentium E5400,,,2,2.7 GHz,,Wolfdale,65 W,None,4
Intel Core 2 Duo E8500,199.95,,2,3.16 GHz,,Wolfdale,65 W,None,0
Intel Core i5-670,173.42,,2,3.46 GHz,,Westmere,73 W,Intel HD Graphics,0
Intel Core i7-940,264.64,,4,2.93 GHz,,Nehalem,130 W,None,4
Intel Core 2 Quad Q8300,158.11,,4,2.5 GHz,,Yorkfield,95 W,None,0
Intel Core 2 Extreme QX6700,,,4,2.66 GHz,,Core,100 W,None,4
AMD Phenom II X4 970 Black,238.39,,4,3.5 GHz,,K10,125 W,None,4.5
AMD Phenom II X2 560 Black,,,2,3.3 GHz,,K10,80 W,None,0
AMD A4-3400,,,2,2.7 GHz,,Lynx,65 W,Radeon HD 6410D,0
AMD FX-6200,,,6,3.8 GHz,,Bulldozer,125 W,None,4.5
Intel Core i3-3220T,,,2,2.8 GHz,,Ivy Bridge,35 W,Intel HD Graphics 2500,0
Intel Xeon E3-1220,,,4,3.1 GHz,,Sandy Bridge,80 W,None,0
Intel Core i5-3340,,,4,3.1 GHz,3.3 GHz,Ivy Bridge,77 W,Intel HD Graphics 2500,4
Intel Xeon E5-1660,,,6,3.3 GHz,3.9 GHz,Sandy Bridge,130 W,None,5
Intel Pentium G3450,,,2,3.4 GHz,,Haswell Refresh,53 W,Intel HD Graphics,5
AMD FX-4150,,,4,4 GHz,4.1 GHz,Bulldozer,125 W,None,0
AMD Athlon X4 550,,,4,2.2 GHz,,Jaguar,25 W,None,0
AMD Sempron X2 250,,,2,3.2 GHz,3.6 GHz,Piledriver,65 W,None,0
Intel Xeon E5-2623 V3,,,4,3 GHz,3.5 GHz,Haswell,105 W,None,5
Intel Xeon E5-2643 V3,,,6,3.4 GHz,3.7 GHz,Haswell,135 W,None,0
Intel Xeon E5-2687W V3,2455.73,,10,3.1 GHz,3.5 GHz,Haswell,160 W,None,0
AMD FX-8310,,,8,3.4 GHz,4.3 GHz,Piledriver,95 W,None,4
Intel Pentium G4500,,,2,3.5 GHz,,Skylake,51 W,Intel HD Graphics 530,4.5
Intel Pentium G4520,,,2,3.6 GHz,,Skylake,51 W,Intel HD Graphics 530,0
AMD Opteron 6328,,,8,3.2 GHz,3.8 GHz,Piledriver,115 W,None,0
Intel Xeon E5-2420V2,,,6,2.2 GHz,2.7 GHz,Ivy Bridge,80 W,None,0
Intel Xeon E5-2430V2,,,6,2.5 GHz,3 GHz,Ivy Bridge,80 W,None,5
Intel Xeon E3-1220 V6,350.41,,4,3 GHz,3.5 GHz,Kaby Lake,72 W,None,0
AMD EPYC 4484PX,,,12,4.4 GHz,5.6 GHz,Zen 4,120 W,Radeon,0
AMD Athlon 240GE,,,2,3.5 GHz,,Zen,35 W,Radeon Vega 3,0
AMD Phenom II X4 905e,,,4,2.5 GHz,,K10,65 W,None,0
Intel Core 2 Duo E6320,148.21,,2,1.86 GHz,,Core,65 W,None,0
Intel Core 2 Duo E6400,318.55,,2,2.13 GHz,,Core,65 W,None,0
Intel Pentium E6600,,,2,3.06 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E6750,148.41,,2,2.66 GHz,,Core,65 W,None,0
Intel Core 2 Duo E8300,156.41,,2,2.83 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Quad Q8200,199.89,,4,2.33 GHz,,Yorkfield,95 W,None,4
Intel Core 2 Quad Q9450,285.98,,4,2.66 GHz,,Yorkfield,95 W,None,5
Intel Core 2 Quad Q9505,,,4,2.83 GHz,,Yorkfield,95 W,None,0
AMD Phenom II X6 1075T,,,6,3 GHz,,K10,95 W,None,4.5
AMD Phenom II X4 955,,,4,3.2 GHz,,K10,125 W,None,4.5
Intel Pentium E5800,,,2,3.2 GHz,,Wolfdale,65 W,None,0
AMD Athlon II X2 245,,,2,2.9 GHz,,K10,65 W,None,0
AMD A6-3500,,,3,2.1 GHz,,Lynx,65 W,Radeon HD 6530D,3
AMD A8-3870K,,,4,3 GHz,,Lynx,100 W,Radeon HD 6550D,3
AMD A10-5700,,,4,3.4 GHz,,Piledriver,65 W,Radeon HD 7660D,5
Intel Xeon E3-1225,,,4,3.1 GHz,,Sandy Bridge,95 W,Intel HD Graphics,0
Intel Xeon E3-1270,,,4,3.4 GHz,,Sandy Bridge,80 W,None,0
Intel Celeron G1620,,,2,2.7 GHz,,Ivy Bridge,55 W,Intel HD Graphics,5
Intel Pentium G2130,,,2,3.2 GHz,,Ivy Bridge,55 W,Intel HD Graphics,0
Intel Xeon E3-1225 V3,,,4,3.2 GHz,3.6 GHz,Haswell,84 W,Intel HD Graphics P4600,0
AMD A10-6790K,,,4,4 GHz,4.3 GHz,Piledriver,100 W,Radeon HD 8670D,4.5
Intel Celeron G1820,,,2,2.7 GHz,,Haswell,53 W,Intel HD Graphics,5
Intel Xeon E5-2603,,,4,1.8 GHz,,Sandy Bridge,80 W,None,0
AMD A6-6420K,,,2,4 GHz,4.2 GHz,Piledriver,65 W,Radeon HD 8000 Series,5
AMD A4-6320,,,2,3.8 GHz,4 GHz,Piledriver,65 W,Radeon HD 8370D,5
AMD E2-3200,,,2,2.4 GHz,,Lynx,65 W,Radeon HD 6370D,0
Intel Core i3-4360T,,,2,3.2 GHz,,Haswell Refresh,35 W,Intel HD Graphics 4600,0
Intel Xeon E5-1650,,,6,3.2 GHz,3.8 GHz,Sandy Bridge,130 W,None,4
Intel Xeon E5-2637 V2,,,4,3.5 GHz,3.8 GHz,Ivy Bridge,130 W,None,0
Intel Xeon E5-1630 V3,,,4,3.7 GHz,3.8 GHz,Haswell,140 W,None,5
AMD Athlon X2 350,,,2,3.5 GHz,3.9 GHz,Piledriver,65 W,None,0
Intel Xeon E5-2609 V3,,,6,1.9 GHz,,Haswell,85 W,None,0
Intel Core i7-4770T,,,4,2.5 GHz,,Haswell,45 W,Intel HD Graphics 4600,0
Intel Xeon E3-1230 V5,,,4,3.4 GHz,3.8 GHz,Skylake,80 W,None,0
Intel Pentium G3260,,,2,3.3 GHz,,Haswell Refresh,53 W,Intel HD Graphics,0
AMD Athlon X4 845,,,4,3.5 GHz,3.8 GHz,Puma+,65 W,None,4
Intel Xeon E5-2609 V4,,,8,1.7 GHz,,Broadwell,85 W,None,0
Intel Core i3-7300,118,,2,4 GHz,,Kaby Lake,51 W,Intel HD Graphics 630,4
Intel Xeon E3-1225 V6,451.24,,4,3.3 GHz,3.7 GHz,Kaby Lake,73 W,Intel HD Graphics P630,0
Intel Core i7-870S,,,4,2.667 GHz,,Nehalem,82 W,None,0
Intel Core i5-9600T,,,6,2.3 GHz,3.9 GHz,Coffee Lake Refresh,35 W,Intel UHD Graphics 630,0
Intel Xeon E-2134,,,4,3.5 GHz,4.5 GHz,Coffee Lake,71 W,None,0
Intel Xeon E-2104G,746.85,,4,3.2 GHz,,Coffee Lake,65 W,Intel HD Graphics P630,0
Intel Core i5-4670T,,,4,2.3 GHz,,Haswell,45 W,Intel HD Graphics 4600,0
Intel Xeon E3-1275 V6,670.94,,4,3.8 GHz,4.2 GHz,Kaby Lake,73 W,Intel HD Graphics P630,0
Intel Pentium G840,,,2,2.8 GHz,,Sandy Bridge,65 W,Intel HD Graphics,0
Intel Xeon E3-1226 V3,,,4,3.3 GHz,3.7 GHz,Haswell Refresh,84 W,Intel HD Graphics P4600,0
AMD Athlon II X3 425,,,3,2.7 GHz,,K10,95 W,None,0
AMD Athlon II X3 435,,,3,2.9 GHz,,K10,95 W,None,0
AMD Athlon II X3 445,,,3,3.1 GHz,,K10,95 W,None,0
AMD Phenom II X4 945,189.98,,4,3 GHz,,K10,125 W,None,0
AMD Athlon II X4 600e,,,4,2.2 GHz,,K10,45 W,None,0
AMD Phenom II X3 720 Black,,,3,2.8 GHz,,K10,95 W,None,0
AMD Phenom II X4 910e,,,4,2.6 GHz,,K10,65 W,None,0
Intel Pentium E2180,,,2,2 GHz,,Core,65 W,None,0
Intel Core 2 Duo E4400,,,2,2 GHz,,Core,65 W,None,0
Intel Pentium E5500,119.98,,2,2.8 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E6550,,,2,2.33 GHz,,Core,65 W,None,0
Intel Core 2 Duo E7300,,,2,2.66 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E8200,122.36,,2,2.66 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Quad Q6700,,,4,2.66 GHz,,Core,100 W,None,4.5
AMD Athlon II X3 450,,,3,3.2 GHz,,K10,95 W,None,4.5
AMD Phenom II X4 965,,,4,3.4 GHz,,K10,125 W,None,4
AMD A6-3650,,,4,2.6 GHz,,Lynx,100 W,Radeon HD 6530D,4
AMD Phenom II X6 1035T,,,6,2.6 GHz,,K10,95 W,None,5
Intel Core i3-2105,,,2,3.1 GHz,,Sandy Bridge,65 W,Intel HD Graphics 3000,0
Intel Core i5-2405S,,,4,2.5 GHz,,Sandy Bridge,65 W,Intel HD Graphics 3000,0
Intel Core i3-2125,,,2,3.3 GHz,,Sandy Bridge,65 W,Intel HD Graphics 3000,0
AMD A6-3670K,,,4,2.7 GHz,,Lynx,100 W,Radeon HD 6530D,0
AMD Phenom II X4 970,,,4,3.5 GHz,,K10,125 W,None,0
AMD FX-4170,,,4,4.2 GHz,,Bulldozer,125 W,None,4.5
Intel Pentium G870,,,2,3.1 GHz,,Sandy Bridge,65 W,Intel HD Graphics,0
Intel Core i3-3225,,,2,3.3 GHz,,Ivy Bridge,55 W,Intel HD Graphics 4000,4.5
Intel Xeon E3-1230,,,4,3.2 GHz,,Sandy Bridge,80 W,None,4
Intel Xeon E3-1240,,,4,3.3 GHz,,Sandy Bridge,80 W,None,0
Intel Xeon E3-1275,,,4,3.4 GHz,,Sandy Bridge,95 W,Intel HD Graphics,0
Intel Xeon E3-1265L V2,,,4,2.5 GHz,,Ivy Bridge,45 W,Intel HD Graphics 2500,0
Intel Xeon E3-1275 V3,,,4,3.5 GHz,3.9 GHz,Haswell,84 W,Intel HD Graphics P4600,0
Intel Xeon E5-2640,,,6,2.5 GHz,3 GHz,Sandy Bridge,95 W,None,0
Intel Xeon E5-2640 V2,,,8,2 GHz,2.5 GHz,Ivy Bridge,95 W,None,0
Intel Xeon E5-2660 V2,239.56,,10,2.2 GHz,3 GHz,Ivy Bridge,95 W,None,0
Intel Celeron G1850,,,2,2.9 GHz,,Haswell Refresh,53 W,Intel HD Graphics,0
Intel Core i3-4160T,99,,2,3.1 GHz,,Haswell Refresh,35 W,Intel HD Graphics 4400,0
Intel Xeon E5-2650L,125.47,,8,1.8 GHz,2.3 GHz,Sandy Bridge,70 W,None,0
AMD FX-8370E,,,8,3.3 GHz,4.3 GHz,Piledriver,95 W,None,0
AMD Athlon X4 530,,,4,2 GHz,,Jaguar,25 W,None,0
AMD Pro A10-7850B,,,4,3.7 GHz,4 GHz,Steamroller,95 W,Radeon R7 (on-die),0
AMD Athlon X4 840,,,4,3.1 GHz,3.8 GHz,Steamroller,65 W,None,0
AMD Athlon X2 450,,,2,3.5 GHz,3.9 GHz,Steamroller,65 W,None,0
Intel Core i3-6300T,,,2,3.3 GHz,,Skylake,35 W,Intel HD Graphics 530,0
Intel Core i3-6320,,,2,3.9 GHz,,Skylake,51 W,Intel HD Graphics 530,5
Intel Pentium G4500T,,,2,3 GHz,,Skylake,35 W,Intel HD Graphics 530,0
Intel Xeon E3-1225 V5,542.1,,4,3.3 GHz,3.7 GHz,Skylake,80 W,Intel HD Graphics P530,0
Intel Xeon E3-1240 V5,,,4,3.5 GHz,3.9 GHz,Skylake,80 W,None,0
Intel Xeon E3-1235L V5,,,4,2 GHz,3 GHz,Skylake,25 W,Intel HD Graphics P530,0
AMD Opteron 6344,,,12,2.6 GHz,3.2 GHz,Piledriver,115 W,None,0
Intel Xeon E5-2683 V3,,,14,2 GHz,3 GHz,Haswell,120 W,None,0
Intel Core i3-7300T,,,2,3.5 GHz,,Kaby Lake,35 W,Intel HD Graphics 630,0
Intel Xeon E5-2440V2,,,8,1.9 GHz,2.4 GHz,Ivy Bridge,95 W,None,0
Intel Xeon E3-1240 V6,540.15,,4,3.7 GHz,4.1 GHz,Kaby Lake,72 W,None,0
AMD A6-9550,,,2,3.8 GHz,4 GHz,Excavator,65 W,Radeon R5 (on die),0
Intel Core i3-9320,,,4,3.7 GHz,4.4 GHz,Coffee Lake Refresh,62 W,None,0
Intel Xeon E-2144G,,,4,3.6 GHz,4.5 GHz,Coffee Lake,71 W,Intel HD Graphics P630,0
Intel Xeon E-2126G,,,6,3.3 GHz,4.5 GHz,Coffee Lake,80 W,Intel HD Graphics P630,0
Intel Pentium Gold G6500,,,2,4.1 GHz,,Comet Lake,58 W,Intel UHD Graphics 630,0
Intel Celeron G5905T,,,2,3.3 GHz,,Comet Lake,35 W,Intel UHD Graphics 610,0
AMD EPYC 4584PX,,,16,4.2 GHz,5.7 GHz,Zen 4,120 W,Radeon,0
Intel Xeon E3-1275 V5,,,4,3.6 GHz,4 GHz,Skylake,80 W,Intel HD Graphics P530,0
AMD Phenom II X2 550 Black,,,2,3.1 GHz,,K10,80 W,None,5
AMD Phenom II X2 555 Black,,,2,3.2 GHz,,K10,80 W,None,5
AMD Athlon II X4 630,,,4,2.8 GHz,,K10,95 W,None,5
AMD Athlon II X4 635,,,4,2.9 GHz,,K10,95 W,None,0
AMD Phenom II X3 720,,,3,2.8 GHz,,K10,95 W,None,5
AMD Phenom II X4 805,,,4,2.5 GHz,,K10,95 W,None,0
AMD Phenom II X4 810,189.98,,4,2.6 GHz,,K10,95 W,None,5
AMD Athlon II X3 400e,,,3,2.2 GHz,,K10,45 W,None,0
AMD Athlon II X3 415e,,,3,2.5 GHz,,K10,45 W,None,0
Intel Celeron E1200,182.43,,2,1.6 GHz,,Core,65 W,None,0
Intel Celeron E1600,,,2,2.4 GHz,,Core,65 W,None,0
Intel Celeron E3300,109,,2,2.5 GHz,,Wolfdale,65 W,None,0
Intel Pentium E6300,,,2,2.8 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E6420,129.26,,2,2.13 GHz,,Core,65 W,None,0
Intel Core 2 Duo E7600,,,2,3.06 GHz,,Wolfdale,65 W,None,0
Intel Core i5-680,259.49,,2,3.6 GHz,,Westmere,73 W,Intel HD Graphics,0
Intel Core i5-750S,,,4,2.4 GHz,,Nehalem,82 W,None,0
Intel Core 2 Quad Q8200S,,,4,2.33 GHz,,Yorkfield,65 W,None,0
Intel Core 2 Quad Q9400S,,,4,2.66 GHz,,Yorkfield,65 W,None,0
Intel Core 2 Quad Q9550S,,,4,2.83 GHz,,Yorkfield,65 W,None,4
Intel Core 2 Extreme QX6800,,,4,2.93 GHz,,Core,100 W,None,4
AMD Athlon II X2 255,,,2,3.1 GHz,,K10,65 W,None,0
AMD Athlon II X2 265,,,2,3.2 GHz,,K10,65 W,None,0
AMD Athlon II X4 610e,,,4,2.4 GHz,,K10,45 W,None,0
Intel Pentium E6700,,,2,3.2 GHz,,Wolfdale,65 W,None,0
AMD Phenom II X4 830,,,4,2.8 GHz,,K10,95 W,None,3.5
AMD Sempron 130,,,1,2.6 GHz,,K10,45 W,None,0
Intel Pentium G620T,,,2,2.2 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
Intel Pentium G850,,,2,2.9 GHz,,Sandy Bridge,65 W,Intel HD Graphics,5
AMD Phenom II X4 960T Black,,,4,3 GHz,,K10,95 W,None,4.5
AMD Athlon II X4 641,,,4,2.8 GHz,,Lynx,100 W,None,0
Intel Xeon E3-1280,,,4,3.5 GHz,,Sandy Bridge,95 W,None,0
AMD A4-4000,,,2,3 GHz,,Piledriver,65 W,Radeon HD 7480D,4
AMD Athlon X2 370K,,,2,4.2 GHz,,Piledriver,65 W,None,0
Intel Pentium G3430,,,2,3.3 GHz,,Haswell,54 W,Intel HD Graphics,0
Intel Celeron G1630,,,2,2.8 GHz,,Ivy Bridge,55 W,Intel HD Graphics,0
Intel Pentium G2140,,,2,3.3 GHz,,Ivy Bridge,55 W,Intel HD Graphics,0
Intel Core i5-3340S,,,4,2.8 GHz,3.3 GHz,Ivy Bridge,65 W,Intel HD Graphics 2500,0
Intel Xeon E5-2609 V2,,,4,2.5 GHz,,Ivy Bridge,80 W,None,0
Intel Xeon E5-2620 V2,,,6,2.1 GHz,2.6 GHz,Ivy Bridge,80 W,None,0
Intel Core i3-4350,,,2,3.6 GHz,,Haswell Refresh,54 W,Intel HD Graphics 4600,5
Intel Pentium G2030,,,2,3 GHz,,Ivy Bridge,55 W,Intel HD Graphics,5
AMD Sempron X2 198,,,2,2.5 GHz,,Lynx,65 W,None,0
AMD A10-6700T,,,4,2.5 GHz,3.5 GHz,Piledriver,45 W,Radeon HD 8650D,0
AMD A4-3420,,,2,2.8 GHz,,Lynx,65 W,Radeon HD 6410D,0
AMD FX-4200,,,4,3.3 GHz,,Bulldozer,125 W,None,3.5
AMD FX-4320,,,4,4 GHz,4.2 GHz,Piledriver,95 W,None,0
AMD FX-8140,,,8,3.2 GHz,4.1 GHz,Bulldozer,95 W,None,0
AMD Athlon II X4 651,,,4,3 GHz,,Lynx,100 W,None,4
Intel Xeon E3-1276 V3,,,4,3.6 GHz,4 GHz,Haswell Refresh,84 W,Intel HD Graphics P4600,0
AMD Pro A8-7600B,,,4,3.1 GHz,3.8 GHz,Steamroller,65 W,Radeon R7 (on-die),0
AMD Pro A6-7400B,,,2,3.5 GHz,3.9 GHz,Steamroller,65 W,Radeon R5 (on die),0
AMD Pro A10-7800B,,,4,3.5 GHz,3.9 GHz,Steamroller,65 W,Radeon R7 (on-die),0
AMD Phenom II X2 B59,,,2,3.4 GHz,,K10,80 W,None,3
AMD Phenom II X4 B99,,,4,3.3 GHz,,K10,95 W,None,0
Intel Pentium G3250T,,,2,2.8 GHz,,Haswell Refresh,35 W,Intel HD Graphics,0
Intel Xeon E5-2685 V3,,,12,2.6 GHz,3.3 GHz,Haswell,120 W,None,0
AMD Phenom II X6 1065T,,,6,2.7 GHz,,K10,95 W,None,0
AMD A4-7300,,,2,3.8 GHz,4 GHz,Piledriver,65 W,Radeon HD 8470D,0
Intel Xeon E3-1280 V5,491.18,,4,3.7 GHz,4 GHz,Skylake,80 W,None,0
Intel Xeon E3-1260L V5,80.45,,4,2.9 GHz,3.9 GHz,Skylake,45 W,None,0
AMD A6-7470K,,,2,3.7 GHz,4 GHz,Steamroller,65 W,Radeon R5 (on die),0
Intel Xeon E5-2603 V4,549.22,,6,1.7 GHz,,Broadwell,85 W,None,0
Intel Xeon E5-2658 V3,,,12,2.2 GHz,2.9 GHz,Haswell,105 W,None,5
Intel Pentium G4560T,,,2,2.9 GHz,,Kaby Lake,35 W,Intel HD Graphics 610,0
Intel Pentium G4600T,,,2,3 GHz,,Kaby Lake,35 W,Intel HD Graphics 630,0
Intel Core i3-7101TE,,,2,3.4 GHz,,Kaby Lake,35 W,Intel HD Graphics 610,0
AMD Athlon X4 940,,,4,3.2 GHz,3.6 GHz,Excavator,65 W,None,0
Intel Core i5-3550S,,,4,3 GHz,3.7 GHz,Ivy Bridge,65 W,Intel HD Graphics 2500,0
Intel Core i3-8300T,,,4,3.2 GHz,,Coffee Lake,35 W,Intel UHD Graphics 630,0
Intel Pentium Gold G5500T,,,2,3.2 GHz,,Coffee Lake,35 W,Intel UHD Graphics 630,0
Intel Xeon E-2244G,,,4,3.8 GHz,4.8 GHz,Coffee Lake Refresh,71 W,Intel HD Graphics P630,0
Intel Pentium Gold G6605,109.99,,2,4.3 GHz,,Comet Lake,58 W,Intel UHD Graphics 630,0
Intel Core i3-3240T,,,2,2.9 GHz,,Ivy Bridge,35 W,Intel HD Graphics 2500,0
Intel Core 2 Duo E7200,,,2,2.53 GHz,,Wolfdale,65 W,None,0
AMD Athlon II X2 215,,,2,2.7 GHz,,K10,65 W,None,0
AMD Phenom II X2 550,,,2,3.1 GHz,,K10,80 W,None,3.5
AMD Phenom II X3 710,,,3,2.6 GHz,,K10,95 W,None,0
AMD Phenom II X4 910,,,4,2.6 GHz,,K10,95 W,None,4
AMD Athlon II X2 235e,,,2,2.7 GHz,,K10,45 W,None,3
AMD Athlon II X2 240e,129,,2,2.8 GHz,,K10,45 W,None,0
AMD Athlon II X2 245e,,,2,2.9 GHz,,K10,45 W,None,0
AMD Athlon II X2 250u,,,2,1.6 GHz,,K10,25 W,None,0
AMD Athlon II X2 260u,,,2,1.8 GHz,,K10,25 W,None,0
AMD Athlon II X3 405e,,,3,2.3 GHz,,K10,45 W,None,0
AMD Athlon II X4 605e,,,4,2.3 GHz,,K10,45 W,None,0
AMD Phenom II X4 965 Black (140W),199.49,,4,3.4 GHz,,K10,140 W,None,0
Intel Celeron E1400,,,2,2 GHz,,Core,65 W,None,0
Intel Pentium E2200,,,2,2.2 GHz,,Core,65 W,None,0
Intel Celeron E3200,89.98,,2,2.4 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E6540,,,2,2.33 GHz,,Core,65 W,None,0
Intel Core 2 Duo E7400,,,2,2.8 GHz,,Wolfdale,65 W,None,0
Intel Core 2 Duo E8190,,,2,2.66 GHz,,Wolfdale,65 W,None,0
Intel Core i5-660,,,2,3.33 GHz,,Westmere,73 W,Intel HD Graphics,0
Intel Core i7-860S,,,4,2.53 GHz,,Nehalem,82 W,None,0
Intel Core 2 Quad Q9505S,,,4,2.83 GHz,,Yorkfield,65 W,None,0
AMD Phenom II X3 715 Black,,,3,2.8 GHz,,K10,95 W,None,0
Intel Celeron E3500,,,2,2.7 GHz,,Wolfdale,65 W,None,0
Intel Celeron G540,,,2,2.5 GHz,,Sandy Bridge,65 W,Intel HD Graphics,4
AMD Athlon II X4 631,,,4,2.6 GHz,,Lynx,100 W,None,0
Intel Pentium G630T,,,2,2.3 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
Intel Core i5-2380P,,,4,3.1 GHz,,Sandy Bridge,95 W,None,0
Intel Core i5-2450P,,,4,3.2 GHz,,Sandy Bridge,95 W,None,0
Intel Pentium G550,,,2,2.6 GHz,,Sandy Bridge,65 W,Intel HD Graphics,3.5
Intel Celeron G555,,,2,2.7 GHz,,Sandy Bridge,65 W,Intel HD Graphics,0
Intel Celeron G465,,,2,1.9 GHz,,Sandy Bridge,35 W,Intel HD Graphics,0
Intel Xeon E3-1235,,,4,3.2 GHz,,Sandy Bridge,95 W,Intel HD Graphics,0
Intel Pentium G2010,,,2,2.8 GHz,,Ivy Bridge,55 W,Intel HD Graphics,0
Intel Celeron G1830,,,2,2.8 GHz,,Haswell,53 W,Intel HD Graphics,0
Intel Xeon E5-2603 V2,,,4,1.8 GHz,,Ivy Bridge,80 W,None,0
AMD A4-4020,,,2,3.2 GHz,3.4 GHz,Piledriver,65 W,Radeon HD 7480D,0
AMD A10-6790B,,,4,4 GHz,,Piledriver,100 W,Radeon HD 8670D,0
AMD A10-6800B,,,4,4.1 GHz,4.4 GHz,Piledriver,100 W,Radeon HD 8670D,0
AMD A4-3450,,,2,2.9 GHz,,Lynx,65 W,None,0
AMD FX-6130,,,6,3.6 GHz,3.9 GHz,Bulldozer,125 W,None,0
AMD Athlon II X2 221,,,2,2.8 GHz,,Lynx,65 W,None,0
AMD Athlon II X4 638,,,4,2.7 GHz,,Lynx,65 W,None,0
AMD Pro A4-7300B,,,2,3.8 GHz,4 GHz,Piledriver,65 W,Radeon HD 8470D,0
Intel Xeon E5-2622 V3,,,8,2.4 GHz,,Haswell,85 W,None,0
AMD A8-7670K,,,4,3.6 GHz,3.9 GHz,Steamroller,95 W,Radeon R7 (on-die),0
