name,price,image,airflow,color,noise_level,pwm,rpm,size,rating
ARCTIC P12 Pro Reverse,8.77,https://cdna.pcpartpicker.com/static/forever/images/product/f3dd497766467409f3d505e7433364b8.256p.jpg,73 CFM,Black,,Yes,500 - 3000 RPM,120 mm,0
Noctua A12x25 PWM,28.95,https://cdna.pcpartpicker.com/static/forever/images/product/0678f7edda3cb1ccb18c4ae46ae94dce.256p.jpg,49.73 - 60.1 CFM,Brown,18.8 - 22.6 dB,Yes,450 - 2000 RPM,120 mm,4.5
ARCTIC P12 Pro Reverse A-RGB,10.99,https://cdna.pcpartpicker.com/static/forever/images/product/5948ebdbbc5d7cfb25a8c0b1aa8986de.256p.jpg,73 CFM,Black,,Yes,500 - 3000 RPM,120 mm,5
Noctua A14 PWM,24.95,,68 - 82.5 CFM,Brown,19.2 - 24.6 dB,Yes,300 - 1500 RPM,140 mm,4.5
be quiet! Pure Wings 3 PWM 3-Pack,21.95,https://cdna.pcpartpicker.com/static/forever/images/product/1d13716e108f2e92d2d0632388a0a3eb.256p.jpg,47.1 CFM,Black,28.5 dB,Yes,1500 RPM,120 mm,0
Thermalright TL-S12RW X3 3-Pack,25.91,,47.6 CFM,White,23.2 dB,Yes,1500 RPM,120 mm,4.5
Thermalright TL-C14C-S,,,75.8 CFM,Black,26.4 dB,Yes,1500 RPM,140 mm,4.5
Thermalright TL-C12CW-S,,https://cdna.pcpartpicker.com/static/forever/images/product/4c80947e5728d77b511f428c5b6af738.256p.jpg,66.17 CFM,White,25.6 dB,Yes,1550 RPM,120 mm,4.5
be quiet! Silent Wings 4,21.95,https://cdna.pcpartpicker.com/static/forever/images/product/29f0237ef9e955fc60133b4ed4ccdf90.256p.jpg,51.3 CFM,Black,13.6 dB,Yes,1100 RPM,140 mm,5
ARCTIC P14 Pro Reverse A-RGB 3-Pack,30.95,,98 CFM,Black,,Yes,400 - 2650 RPM,140 mm,4
NZXT F120Q (2024),17.48,https://cdna.pcpartpicker.com/static/forever/images/product/61cdf469b35dce9132380aa21e5bf19b.256p.jpg,74.26 CFM,Black,25.1 dB,Yes,500 - 1700 RPM,120 mm,4
Asiahorse Nyota,,,61.5 CFM,Black,,Yes,800 - 2000 RPM,120 mm,4.5
Phanteks T30-120 3-Pack,69.95,https://cdna.pcpartpicker.com/static/forever/images/product/8bb52c1eb6f11b4eedf9846f3caad8e1.256p.jpg,0 - 101 CFM,Black,0 - 39.7 dB,Yes,,120 mm,4.5
Noctua P14s redux-1500 PWM,15.95,https://cdna.pcpartpicker.com/static/forever/images/product/4cbe58187d79db69c868c79b9e68a066.256p.jpg,78.69 CFM,Black / Gray,25.8 dB,Yes,450 - 1500 RPM,140 mm,4.5
Noctua A20 PWM chromax.black.swap,,https://cdna.pcpartpicker.com/static/forever/images/product/2e83c453181beaa60c418b8fd36eede8.256p.jpg,86.46 CFM,Black / Multicolor,18.1 dB,Yes,350 - 800 RPM,200 mm,5
Thermalright TL-M12R-S,,,47.6 CFM,Black,23.2 dB,Yes,1500 RPM,120 mm,4.5
ARCTIC P12 PST 5-Pack,58.57,https://cdna.pcpartpicker.com/static/forever/images/product/9e64d0503bfd4cd6bcf7f259b0e664cf.256p.jpg,56.3 CFM,Black,22.5 dB,Yes,200 - 1800 RPM,120 mm,4.5
Phanteks M25G2-120 D-RGB 3-Pack,25.99,https://cdna.pcpartpicker.com/static/forever/images/product/0046c2d734c1d6351e091b207daaf00f.256p.jpg,72.72 CFM,Black,35.13 dB,Yes,350 - 2000 RPM,120 mm,4.5
Enermax SquA RGB 3-Pack,277.49,https://cdna.pcpartpicker.com/static/forever/images/product/b776fa03bdae548c7b2709be03194fe7.256p.jpg,24.53 - 68.27 CFM,Black,12 - 23 dB,Yes,300 - 1500 RPM,120 mm,4.5
