name,price,image,capacity,interface,type,form_factor,cache,price_gb,rating
Lexar NM610PRO,184.99,https://cdna.pcpartpicker.com/static/forever/images/product/4882d36c303799525f14bd2b62efc068.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.185,0
Samsung 850 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/2275d7335b3784eed93977ab579b6e5d.256p.jpg,256 GB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
Kingston KC600,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/2d941d002eeba10430595867b07350ad.256p.jpg,256 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.234,5
Intenso Top Performance,34,https://cdna.pcpartpicker.com/static/forever/images/product/7f9f64e90b66787f94e853573f355b1b.256p.jpg,128 GB,M.2 SATA,SSD,M.2-2280,,£0.266,0
Solidigm P44 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/79f41cae02110c429bd9bb514130d169.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4.5
MSI SPATIUM M371,,https://cdna.pcpartpicker.com/static/forever/images/product/d107382d93f8644cb089dc6bc87107e5.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Corsair MP600 Force Series Gen4,,https://cdna.pcpartpicker.com/static/forever/images/product/f84a7ecafc7e7fb85c25a1c6414f5097.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
Western Digital SN530,,,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,5
Patriot Burst,85.76,https://cdna.pcpartpicker.com/static/forever/images/product/b443d34c02302bac4302ca02c65bc699.256p.jpg,960 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.089,3
ADATA LEGEND 900,165.99,https://cdna.pcpartpicker.com/static/forever/images/product/a99873cdf1e29ce1e99baa03d9523ca0.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.166,5
MSI SPATIUM M480 PRO PLAY,234,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,2048 MB,£0.117,0
Addlink A93 PS5,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
Acer FA100,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/f5421fd9797f3f451727604bfc5b555c.256p.jpg,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.176,0
TEAMGROUP NV10000,218.27,https://cdna.pcpartpicker.com/static/forever/images/product/a4b1ceb3efe6c5762c81d96c342f4444.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,£0.218,0
Solidigm P41 Plus,,https://cdna.pcpartpicker.com/static/forever/images/product/aafcbf420443bb76cfe6a8c174f447db.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4.5
KingSpec NXM,159.99,,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2242,,£0.160,4
Sabrent Rocket,,https://cdna.pcpartpicker.com/static/forever/images/product/124ba240bbd11a5cdc73b266dc770d5f.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2242,,,5
Sabrent Rocket 4.0,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,4.5
Seagate BarraCuda Q5,,https://cdna.pcpartpicker.com/static/forever/images/product/d902dfde825cee3cafb379e96397582a.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,5
Kingston SSDNow V300,70.88,https://cdna.pcpartpicker.com/static/forever/images/product/adc747a946f989edc13e0c8df1daedf6.256p.jpg,120 GB,SATA 6.0 Gb/s,SSD,"2.5""",,£0.638,4.5
Intel D3-S4610,,,7.68 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,0
Corsair MP600 PRO LPX,234.13,https://cdna.pcpartpicker.com/static/forever/images/product/667a9649b7d52b5acdef269e5a6ebb91.256p.jpg,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.234,4.5
Micron 3400,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
TEAMGROUP T-Force GE PRO AirFlow,,https://cdna.pcpartpicker.com/static/forever/images/product/156e5cc8e2782bb1a8d8ff73c763d349.256p.jpg,4 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,,0
Samsung 950 PRO,,https://cdna.pcpartpicker.com/static/forever/images/product/55b753d2ca9be9204bcee17ef9879194.256p.jpg,256 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,512 MB,,4.5
AGI AI818,,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,0
Inland Performance Plus,,,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,,5
Intel SSDPEDMD020T401,2363.96,https://cdna.pcpartpicker.com/static/forever/images/product/4ab3a8901725966b71c6806fc7f6a08b.256p.jpg,2 TB,PCIe x4,SSD,PCIe,,£1.182,0
Corsair MP600 CORE XT,557.6,https://cdna.pcpartpicker.com/static/forever/images/product/72ef56a7a1e4daa2e550a57f9abcc9f1.256p.jpg,4 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.139,4.5
SanDisk Optimus GX PRO 850X,1790.99,https://cdna.pcpartpicker.com/static/forever/images/product/32d4823c8c77d81305dc55eb19180a8a.256p.jpg,8 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.224,0
Corsair MP600 PRO NH,459.99,,1 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.460,0
Gigabyte Gen3 2500E,,https://cdna.pcpartpicker.com/static/forever/images/product/149b1f5a97a72308596886f1c6e174b1.256p.jpg,500 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,0
TEAMGROUP MP33 PRO,129.95,https://cdna.pcpartpicker.com/static/forever/images/product/6b1c4b8f45703c35569656622ff924ed.256p.jpg,1 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,£0.130,4.5
Silicon Power A58,,,4 TB,SATA 6.0 Gb/s,SSD,"2.5""",,,0
Samsung PM951,,,512 GB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,4.5
SanDisk Ultra 3D,,https://cdna.pcpartpicker.com/static/forever/images/product/29dcf33e90688c4ccac590096b12cdf1.256p.jpg,500 GB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
Seagate FireCuda 530,314.37,https://cdna.pcpartpicker.com/static/forever/images/product/a82a914921d63165f8a7b096089ff91f.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.157,5
PNY CS3150 RGB,,https://cdna.pcpartpicker.com/static/forever/images/product/d79810724be9bca37576b0fe5c4da7bd.256p.jpg,1 TB,M.2 PCIe 5.0 X4,SSD,M.2-2280,,,0
TEAMGROUP T-Force Z44A7Q,323,https://cdna.pcpartpicker.com/static/forever/images/product/b7ba590f090b57bd9658a5cf93c02190.256p.jpg,2 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.161,5
Silicon Power A80,,https://cdna.pcpartpicker.com/static/forever/images/product/c7de1212bd34018b77cd9b402f4fd2e1.256p.jpg,2 TB,M.2 PCIe 3.0 X4,SSD,M.2-2280,,,5
GOODRAM PX700,393.79,https://cdna.pcpartpicker.com/static/forever/images/product/93f246c04ec4e228a24141001c593298.256p.jpg,1.024 TB,M.2 PCIe 4.0 X4,SSD,M.2-2280,,£0.385,0
Samsung 840 Evo,,,250 GB,SATA 6.0 Gb/s,SSD,"2.5""",,,4.5
