web_scraper_order,web_scraper_start_url,pagination,name,channels,rating,price,channel_wattage,name3,pwm_(4-pin),form_factor,price2,color,channels2,channel_wattage2,pwm_(4-pin)2,color2,form_factor2,name2,name4
"1784223268-21","https://uk.pcpartpicker.com/products/fan-controller/","","Deepcool SC790","Channels6","(1)","Add","Channel Wattage","(1)","PWM (4-Pin)No","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/11a72bf70b5ddcea72a329776fe9a71e.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/11a72bf70b5ddcea72a329776fe9a71e.256p.jpg"
"1784223268-22","https://uk.pcpartpicker.com/products/fan-controller/","","Thermaltake Commander F6 RGB","Channels6","(0)","Add","Channel Wattage0.03 W","(0)","PWM (4-Pin)Yes","Form Factor5.25""","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/fd8b4df1e1965922aaee7862a53213f4.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/fd8b4df1e1965922aaee7862a53213f4.256p.jpg"
"1784223268-23","https://uk.pcpartpicker.com/products/fan-controller/","","Vetroo VT-HUB-10A10P-WT","Channels10","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorWhite","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784223268-24","https://uk.pcpartpicker.com/products/fan-controller/","","Kingwin FPX-001","Channels4","(6)","Add","Channel Wattage8 W","(6)","PWM (4-Pin)No","Form Factor3.5""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41fhnRn9+HL.jpg","https://m.media-amazon.com/images/I/41fhnRn9+HL.jpg"
"1784223268-25","https://uk.pcpartpicker.com/products/fan-controller/","","Aerocool Touch 2000","Channels4","(4)","Add","Channel Wattage6 W","(4)","PWM (4-Pin)No","Form Factor2 x 5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/518Jk7QeaLL.jpg","https://m.media-amazon.com/images/I/518Jk7QeaLL.jpg"
"1784223268-26","https://uk.pcpartpicker.com/products/fan-controller/","","EZDIY-FAB US-PWM fan hub","Channels10","(0)","£18.48Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
"1784223268-27","https://uk.pcpartpicker.com/products/fan-controller/","","NZXT Sentry Mix 2","Channels6","(53)","Add","Channel Wattage30 W","(53)","PWM (4-Pin)Yes","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41Lc8cxUIuL.jpg","https://m.media-amazon.com/images/I/41Lc8cxUIuL.jpg"
"1784223268-28","https://uk.pcpartpicker.com/products/fan-controller/","","Lamptron FC-FC5V2-B","Channels4","(0)","Add","Channel Wattage30 W","(0)","PWM (4-Pin)No","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://cdna.pcpartpicker.com/static/forever/images/product/d68e4903e5ef1df6f0908fe993045f37.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/d68e4903e5ef1df6f0908fe993045f37.256p.jpg"
"1784223268-29","https://uk.pcpartpicker.com/products/fan-controller/","","NZXT Sentry 2","Channels5","(22)","Add","Channel Wattage10 W","(22)","PWM (4-Pin)No","Form Factor5.25""","Add","Color","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://m.media-amazon.com/images/I/41UNjF9i+0L.jpg","https://m.media-amazon.com/images/I/41UNjF9i+0L.jpg"
"1784223268-30","https://uk.pcpartpicker.com/products/fan-controller/","","upHere FH07 AU","Channels7","(0)","Add","Channel Wattage","(0)","PWM (4-Pin)Yes","Form FactorInternal","Add","ColorBlack","Channels","Channel Wattage","PWM (4-Pin)","Color","Form Factor","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
