name,price,image,fan_rpm,noise_level,color,radiator_size,size,rating
Cooler Master Elite,67.77,https://cdna.pcpartpicker.com/static/forever/images/product/e554e972c9c82d560e61aadf17f4c21c.256p.jpg,600 - 2100 RPM,39.5 dB,Black,240 mm,240 mm,4
Noctua NH-U12A chromax.black,119.95,https://cdna.pcpartpicker.com/static/forever/images/product/3a24ca834f2b252f719640f8b8448b6c.256p.jpg,450 - 2000 RPM,18.8 - 22.6 dB,Black,,,4.5
Deepcool AK400,28.5,https://cdna.pcpartpicker.com/static/forever/images/product/c7b02e065c81e7fa94dcf945c388449a.256p.jpg,500 - 1850 RPM,29 dB,White,,,4.5
NZXT Kraken Plus 240,99.98,https://cdna.pcpartpicker.com/static/forever/images/product/e6e1ca9d8cdca108841cacb87a14affb.256p.jpg,500 - 2000 RPM,30 dB,Black,240 mm,240 mm,4
Alphacool Eisbaer Pro Aurora,187.97,https://cdna.pcpartpicker.com/static/forever/images/product/daea75ab1b38ae3387fe96e320e72c12.256p.jpg,31.5,31.5 dB,Black,360 mm,360 mm,0
Lian Li HydroShift II OLED Curved 360TL,299.99,,200 - 2600 RPM,33 dB,Black,360 mm,360 mm,0
Corsair iCUE LINK TITAN 360 RX RGB,139.99,https://cdna.pcpartpicker.com/static/forever/images/product/6254fe41ae3b29682baddb5bc3088cab.256p.jpg,300 - 2100 RPM,Black,Black,360 mm,360 mm,4
Noctua NH-L12S,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/3ef69f2637de8bfe3600a2298437ff83.256p.jpg,450 - 1850 RPM,16.8 - 23.9 dB,,,,4.5
Intel E97379-001,19.98,https://cdna.pcpartpicker.com/static/forever/images/product/dbeab7d9b737c8904b1b75679b3db3a6.256p.jpg,1200 - 2800 RPM,22 dB,Silver / Black,,,3.5
Lian Li Hydroshift II LCD-S 360 CL,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/1d9150cb0e55a16070fa4eb0451ead70.256p.jpg,200 - 2100 RPM,30 dB,White,360 mm,360 mm,5
ID-COOLING SE-214-XT V2 ARGB,,,300 - 2000 RPM,27.2 dB,Black / Silver,,,0
Noctua NL-LC1-24,190.95,https://cdna.pcpartpicker.com/static/forever/images/product/fa0f965b2cd12ca22280deaf31896a1f.256p.jpg,,22.5 dB,Brown / Beige,240 mm,240 mm,0
Thermalright Peerless Assassin 120 SE V3,43.8,2000,2000 RPM,29.8 dB,Black / Silver,,,4.5
Asus ROG Ryujin III ARGB Extreme,284.98,https://cdna.pcpartpicker.com/static/forever/images/product/aee12c51f52cb48a4bfda05ed02d8be2.256p.jpg,1 - 2800 RPM,36 dB,White,360 mm,360 mm,0
Noctua NH-D15 G2,127.95,https://cdna.pcpartpicker.com/static/forever/images/product/842c59679e64a6502bd922204c4d8a24.256p.jpg,1500 RPM,24.8 dB,Brown / Silver,,,4.5
Thermalright Aqua Elite ARGB V6,80.95,,2000 RPM,29.8 dB,Black,360 mm,360 mm,4.5
Thermalright AXP90-X53 FULL,57.11,2700,2700 RPM,22.4 dB,Copper / Orange,,,4.5
ARCTIC Alpine 23,7.5,https://cdna.pcpartpicker.com/static/forever/images/product/3f4e2db365667ee5ddbdb82520762e25.256p.jpg,100 - 2000 RPM,White / Black,White / Black,,,5
Thermalright AXP120-X67,41.94,1800,1800 RPM,26.1 dB,Black,,,4.5
Noctua NH-L9i,39.95,https://cdna.pcpartpicker.com/static/forever/images/product/9b24fe106eb3486a02a70f67030cb012.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,Brown,,,4.5
NZXT Kraken Plus 360,129.94,https://cdna.pcpartpicker.com/static/forever/images/product/9164251fa8f9916115a9d995362124a2.256p.jpg,500 - 2000 RPM,30 dB,Black,360 mm,360 mm,0
Lian Li Galahad II Lite RGB,101.94,https://cdna.pcpartpicker.com/static/forever/images/product/74eb06f2fb382fa0fc5f3476f8d8d039.256p.jpg,300 - 2500 RPM,34.8 dB,Black,360 mm,360 mm,4.5
Thermalright AQUA ELITE ARGB V4,59.17,1550,1550 RPM,25.6 dB,Black,360 mm,360 mm,4.5
Noctua NH-U12A,109.99,450,2000,450 - 2000 RPM,18.8 - 22.6 dB,Brown,,,4.5
Thermalright Assassin Spirit 120 EVO,21.95,2000,2000 RPM,28.2 dB,Black,,,4.5
Cooler Master Hyper 212 Pro,40.47,690,2500,690 - 2500 RPM,32.8 dB,Black,,,5
NZXT Kraken Plus 360 RGB,164.67,https://cdna.pcpartpicker.com/static/forever/images/product/93798f5f54c936dd6724c1f32098c564.256p.jpg,500 - 2400 RPM,31.9 dB,White,360 mm,360 mm,0
NZXT Kraken Elite 360 RGB,262.56,https://cdna.pcpartpicker.com/static/forever/images/product/00f3005287758516d8b319cefd625a13.256p.jpg,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm,360 mm,4.5
Cooler Master MasterLiquid 240L Core ARGB,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/eded209618d7c6c5bf697c1c74dd7fe9.256p.jpg,350 - 1750 RPM,27.2 dB,White,240 mm,240 mm,4.5
Noctua NH-L9i chromax.black,49.95,600,2500,600 - 2500 RPM,14.8 - 23.6 dB,Black,,,4.5
ARCTIC Freezer 36 A-RGB,27.49,https://cdna.pcpartpicker.com/static/forever/images/product/a235e743b917c12fce63af9acc490b88.256p.jpg,200 - 2000 RPM,Black,Black,,,4.5
Thermalright Peerless Assassin 140,49.22,1500,1500 RPM,25.6 dB,White,,,5
EK EK-Nucleus AIO CR360 Lux D-RGB,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/0fc4606704e57118f24a818149ef0e37.256p.jpg,550 - 2300 RPM,36 dB,Black,360 mm,360 mm,4.5
ARCTIC Liquid Freezer III 240,163.71,https://cdna.pcpartpicker.com/static/forever/images/product/2fc6853c4556dfb16bb10580c1a9cbb1.256p.jpg,200 - 1800 RPM,Black,Black,240 mm,240 mm,4.5
Thermaltake MeOrb II,,1500,2500,1500 - 2500 RPM,18.5 - 28 dB,,,,0
Thermalright Assassin Spirit 120 EVO DARK,31.99,1850,1850 RPM,27 dB,Black,,,5
MSI MEG CORELIQUID S360,276.79,https://cdna.pcpartpicker.com/static/forever/images/product/cbbdc86a542408a48ee588f20638430c.256p.jpg,22.7,22.7 dB,Black,360 mm,360 mm,5
Thermalright Peerless Assassin MINI,34.99,https://cdna.pcpartpicker.com/static/forever/images/product/03c13ead8c4d4bf42d9f69696dfb6ab9.256p.jpg,1500 RPM,25.6 dB,White,,,5
Noctua NH-D9L,49.95,https://cdna.pcpartpicker.com/static/forever/images/product/64d63da64b2f8be28775078a8f8d550a.256p.jpg,400 - 2000 RPM,16.3 - 22.8 dB,,,,4.5
Noctua NH-U12S chromax.black,79.95,https://cdna.pcpartpicker.com/static/forever/images/product/03d2c7690b9a62e9131a8514ea3c0dfa.256p.jpg,300 - 1500 RPM,18.6 - 22.4 dB,Black,,,4.5
Lian Li Galahad II Trinity SL-INF,163.94,https://cdna.pcpartpicker.com/static/forever/images/product/9a5bcf4f476d82ad6aff9287d2cb0b3a.256p.jpg,2100 RPM,29 dB,Black,360 mm,360 mm,4.5
Deepcool AK620 ZERO DARK,44.9,https://cdna.pcpartpicker.com/static/forever/images/product/048ee8d7e1ab67674cc0aac0e4e0e281.256p.jpg,500 - 1850 RPM,28 dB,Black,,,4.5
Corsair iCUE LINK TITAN 240 RX RGB,75.89,https://cdna.pcpartpicker.com/static/forever/images/product/0b209838f82705f4fd013688affda29d.256p.jpg,300 - 2100 RPM,Black,Black,240 mm,240 mm,4.5
ID-COOLING SE-214-XT ARGB,16.98,500,1500,500 - 1500 RPM,13.8 - 30.5 dB,Black,,,4.5
NZXT Kraken Elite 420 RGB (2025),239.99,https://cdna.pcpartpicker.com/static/forever/images/product/352d14da4f6e847989132472aa4dc95f.256p.jpg,500 - 2000 RPM,34.5 dB,Black,420 mm,420 mm,4.5
Deepcool GAMMAXX AG400 ARGB,Add,https://cdna.pcpartpicker.com/static/forever/images/product/9464a59a8e91c8203397a01ab96d0ec7.256p.jpg,500 - 2000 RPM,31.6 dB,Black,,,4.5
NZXT Kraken Plus 240 RGB,94.9,https://cdna.pcpartpicker.com/static/forever/images/product/bfab77ca83ef76771001024cf039d47f.256p.jpg,500 - 2400 RPM,31.9 dB,White,240 mm,240 mm,0
Noctua NH-D15S chromax.black,99.99,300,1500,300 - 1500 RPM,19.2 - 24.6 dB,Black,,,4.5
Montech HyperFlow ARGB 360,65.47,2200,2200 RPM,29.1 dB,Black,360 mm,360 mm,4.5
Corsair iCUE H150i ELITE CAPELLIX,,https://cdna.pcpartpicker.com/static/forever/images/product/c0affd65cd6738bf7da40dc7bfc85c44.256p.jpg,2400 RPM,10 - 37 dB,Black,360 mm,360 mm,4.5
Thermalright Assassin King SE ARGB,33.57,1550,1550 RPM,25.6 dB,Silver / Gray,,,4
ID-COOLING FX360 PRO,59.99,https://cdna.pcpartpicker.com/static/forever/images/product/658230948d7b6a8b7b71488e6828df45.256p.jpg,500 - 1800 RPM,35.2 dB,Black,360 mm,360 mm,4.5
be quiet! Pure Rock LP,39.99,https://cdna.pcpartpicker.com/static/forever/images/product/7023a0631b1f27739ac6d15b4d41d6db.256p.jpg,2500 RPM,Black,Black,,,4
ID-COOLING IS-55 Black,34.99,500,2000,500 - 2000 RPM,31.2 dB,Black,,,4.5
Thermalright Peerless Assassin 120 Digital ARGB,33.9,https://cdna.pcpartpicker.com/static/forever/images/product/0d308d7f9b074a5d64fadcba0290fb6c.256p.jpg,1850 RPM,25.6 dB,White,,,4
Noctua NH-L9x65,49.99,https://cdna.pcpartpicker.com/static/forever/images/product/9cd3f5ef165f51314d4205a0ae030ddd.256p.jpg,600 - 2500 RPM,14.8 - 23.6 dB,,,,4.5
Thermalright Burst Assassin 120 SE ARGB,23.66,1550,1550 RPM,25.6 dB,Black / Silver,,,4.5
Thermalright Assassin X Refined SE PLUS,27.99,1550,1550 RPM,25.6 dB,Black / Silver,,,4.5
Thermalright Wonder Vision 360 UB ARGB,201.61,https://cdna.pcpartpicker.com/static/forever/images/product/28dd00fa9ac29075359b0011a7155ed3.256p.jpg,2150 RPM,27 dB,White,360 mm,360 mm,5
be quiet! Pure Loop 3,64.5,https://cdna.pcpartpicker.com/static/forever/images/product/9d79831f987a13299e2a2dc0ebf1fb59.256p.jpg,1800 RPM,16.5 - 36.6 dB,Black,280 mm,280 mm,4
Thermalright AXP90-X53,24.9,2700,2700 RPM,22.4 dB,Black,,,4
Deepcool LE360 V2,61.94,https://cdna.pcpartpicker.com/static/forever/images/product/cdf9116808842d19dc032e3a3a4f71fa.256p.jpg,500 - 2100 RPM,31.6 dB,Black,360 mm,360 mm,4.5
Cooler Master MASTERLIQUID ML240L RGB V2,106.05,https://cdna.pcpartpicker.com/static/forever/images/product/5b6a5e7f4cf456ccf6415235cf7adc99.256p.jpg,650 - 1800 RPM,6 - 27 dB,Black,240 mm,240 mm,4
Lian Li Hydroshift II LCD-C TL,213.65,https://cdna.pcpartpicker.com/static/forever/images/product/f4baa809d4e22a84a737996b649c6083.256p.jpg,200 - 2600 RPM,33 dB,Black,360 mm,360 mm,4.5
