name,price,image,capacity,interface,type,price_gb,color,rating
LaCie 2big Quadra,,,6000 GB,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",Desktop,,,0
LaCie Little Big Disk,,,1000 GB,Thunderbolt,Desktop,,,0
Western Digital My Book for Mac,,,3000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Western Digital My Book Thunderbolt Duo,,https://cdna.pcpartpicker.com/static/forever/images/product/542c030fe124c8e60d5cfa3c3d5c0348.256p.jpg,4000 GB,Thunderbolt,Desktop,,,5
Western Digital My Book Studio,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,5
Western Digital My Book Essential,258,,1000 GB,USB Type-A 3.2 Gen 1,Desktop,£0.258,,3.5
LaCie Blade Runner,,,4000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Buffalo Technology DriveStation,,,512 GB,Thunderbolt,Desktop,,,0
Buffalo Technology DriveStation Duo,,,8000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
Buffalo Technology DriveStation Axis,,,1000 GB,USB Type-A 3.2 Gen 1,Desktop,,,0
MSI DATAMAG,,https://cdna.pcpartpicker.com/static/forever/images/product/fa44613346e36fa2126f9254ed9f4f47.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
Integral SlimXpress Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/38f2db084668d309c077a3ba1bd496b0.256p.jpg,1000 GB,USB Type-C 3.2 Gen 2x2,Portable,,Silver / Black,0
Lexar Professional SL600,,https://cdna.pcpartpicker.com/static/forever/images/product/c0b42ff136df4e3e48a47807ff520c6d.256p.jpg,512 GB,USB Type-C 3.2 Gen 2x2,Portable,,Black,0
Lexar SL210,262.64,,2000 GB,USB Type-C 3.2 Gen 1,Portable,£0.131,Black,0
Lexar SL200,,https://cdna.pcpartpicker.com/static/forever/images/product/679e0c73dab795ff535c5b7fc9c466b9.256p.jpg,2000 GB,USB Type-C 3.2 Gen 1,Portable,,Black,0
Lexar SL100 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/f6dfc2e6fbaa52dd777243c3f635aaa0.256p.jpg,1000 GB,USB Type-C 3.2 Gen 1,Portable,,Black,0
Lexar SL660 BLAZE,137.99,https://cdna.pcpartpicker.com/static/forever/images/product/bc9e7858729748d0699c6799f8b881a1.256p.jpg,512 GB,USB Type-C 3.2 Gen 2x2,Portable,£0.270,Black,0
Sabrent Rocket nano XTRM,281.98,,1000 GB,USB Type-C 3.2 Gen 2,Portable,£0.282,Black,0
Sabrent Rocket Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/845735b9f7967158c8517725bd9cb662.256p.jpg,512 GB,USB Type-C 3.2 Gen 2,Portable,,Silver,0
Apricorn NVX,708.17,https://cdna.pcpartpicker.com/static/forever/images/product/a7679639c1a1de0cb7ca87a8b766fa2c.256p.jpg,2000 GB,USB Type-C 3.2 Gen 2,Portable,£0.354,Black,0
VisionTek 901378,,,8000 GB,USB Type-C,Portable,,Black,0
VisionTek 901377,,,4000 GB,USB Type-C,Portable,,Black,0
VisionTek 901196,,,1000 GB,USB Type-C,Portable,,Black,0
Silicon Power Stream S05,,,1000 GB,USB Type-A 3.2 Gen 1,Portable,,Black,0
Silicon Power Bolt B75,234.53,https://cdna.pcpartpicker.com/static/forever/images/product/d852f5a01d78a3a2c49b62a2044babe9.256p.jpg,960 GB,USB Type-C 3.2 Gen 1,Portable,£0.244,Silver,0
Silicon Power Bolt B75 Pro,,,256 GB,USB Type-C 3.2 Gen 2,Portable,,Black,0
Toshiba Canvio Connect II,221.3,,1000 GB,USB Type-A 3.2 Gen 1,Portable,£0.221,Black,0
Samsung T3 Portable,,https://cdna.pcpartpicker.com/static/forever/images/product/81411a4250ad0fcd2232126991f9ea6a.256p.jpg,250 GB,USB Type-C 3.2 Gen 1,Portable,,,0
Western Digital My Passport Ultra,,,3000 GB,USB Type-A 3.2 Gen 2,Portable,,White,0
SanDisk G-DRIVE ArmorLock,399,https://cdna.pcpartpicker.com/static/forever/images/product/283aa7c0cc9c6ff261b57cc8c4af51fe.256p.jpg,2000 GB,USB Type-C 3.2 Gen 1,Portable,£0.199,Black / Yellow,0
Sabrent ROCKET XTRM,,https://cdna.pcpartpicker.com/static/forever/images/product/3373f947117bfa851ba8e1c230eac427.256p.jpg,4000 GB,Thunderbolt,Portable,,Silver,0
Apacer AS721,,,1000 GB,USB Type-C 3.2 Gen 1,Portable,,Black,0
Apacer AS722,,https://cdna.pcpartpicker.com/static/forever/images/product/8213ae37318a82ef6af3805667d3b570.256p.jpg,512 GB,USB Type-C 3.2 Gen 1,Portable,,Black,0
Western Digital G-DRIVE Mobile,,https://cdna.pcpartpicker.com/static/forever/images/product/7bd5fe5b6091d468938cc53914e59502.256p.jpg,1000 GB,USB Type-C 3.2 Gen 1,Portable,,Silver,0
