name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
MSI VENTUS 3X PZ OC,1025.54,https://cdna.pcpartpicker.com/static/forever/images/product/f77a6dc9711d131a00bb75f664713b62.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2497 MHz,White / Gray,303 mm,5
XFX Quicksilver,649,https://cdna.pcpartpicker.com/static/forever/images/product/ebf432c454d8993028e4b9dfdbe3f319.256p.jpg,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black,350 mm,5
ONIX LUMI OC,342.85,https://cdna.pcpartpicker.com/static/forever/images/product/e622e8a57047be847c49da7486a6a9b9.256p.jpg,Arc B580,12 GB,2670 MHz,2740 MHz,White / Silver,260 mm,5
Asus DUAL OC V2,707.14,https://cdna.pcpartpicker.com/static/forever/images/product/8036ae79e5083fcd854c3d552bac6865.256p.jpg,GeForce RTX 4060,8 GB,1830 MHz,2535 MHz,Black,202 mm,4.5
MSI GeForce RTX 2060 VENTUS GP OC,349.99,GeForce RTX 2060,GeForce RTX 2060,6 GB,1365 MHz,1710 MHz,Gray / Black,231 mm,4.5
EVGA XC3 ULTRA GAMING,640.94,https://cdna.pcpartpicker.com/static/forever/images/product/31f97a214359674c007e9255c39d5a33.256p.jpg,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,Black,285 mm,4.5
Zotac GAMING SOLID OC,599.99,https://cdna.pcpartpicker.com/static/forever/images/product/a983f0c45d2389cf5205289ce3d2cac4.256p.jpg,GeForce RTX 5070,12 GB,2160 MHz,2542 MHz,Black / Copper,304 mm,4.5
XFX RX-79TMBABF9,632,https://cdna.pcpartpicker.com/static/forever/images/product/a05245760a1b9fd2988847a60767d99e.256p.jpg,Radeon RX 7900 XT,20 GB,2000 MHz,2400 MHz,Black,276 mm,4.5
Gigabyte WINDFORCE MAX OC,274.99,https://cdna.pcpartpicker.com/static/forever/images/product/a44f4fd3839e569ebf9cc5a04cae3420.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,2512 MHz,Black,199 mm,4
MSI RTX 4070 Ti SUPER 16G VENTUS 3X BLACK OC,2189.14,GeForce RTX 4070 Ti SUPER,GeForce RTX 4070 Ti SUPER,16 GB,2340 MHz,2655 MHz,322,322 mm,5
MSI SUPRIM SOC,3899.99,https://cdna.pcpartpicker.com/static/forever/images/product/2795d47cf28435579c736f8422232f4e.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,Black / Silver,Black / Silver,359 mm,4.5
EVGA KO ULTRA GAMING,362.95,https://cdna.pcpartpicker.com/static/forever/images/product/932e869ee03855291c9d97907dd1832d.256p.jpg,GeForce RTX 2060,6 GB,1365 MHz,1755 MHz,Black,202 mm,4.5
Zotac GAMING SOLO,197.47,https://cdna.pcpartpicker.com/static/forever/images/product/8c0a99a6aef332b9eec320bb207ed111.256p.jpg,GeForce RTX 3050 6GB,6 GB,1040 MHz,1470 MHz,Black,151 mm,0
Zotac GAMING SOLID CORE OC,1259.99,https://cdna.pcpartpicker.com/static/forever/images/product/b794ec23749baeba22de8c89b40db9d3.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,2640 MHz,Black / Copper,304 mm,4
