name,overclockers_co_uk_price,box_co_uk_price,ebuyer_com_price,amazon_co_uk_price,cclonline_com_price,novatech_co_uk_price,awd_it_co_uk_price,aria_co_uk_price,lambda_tek_com_price,morecomputers_com_price,watercoolinguk_co_uk_price,price_sources,average_price,image
AMD Athlon 3000G (14nm),,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_athlon_3000g__14nm_.png
Intel Core i7-10700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_10700kf.webp
Intel Core i7-3770K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_3770k.jpg
AMD Ryzen 9 3900XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_9_3900xt.jpg
Intel Core i3-10105F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_10105f.jpg
Intel Core i5-7600,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_7600.jpg
Intel Core i7-9700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_9700kf.jpg
Intel Core i7-4770,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_4770.jpg
Intel Core i5-3470,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_3470.jpg
AMD FX-8350,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_fx_8350.jpg
AMD Ryzen 5 1600X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_1600x.jpg
AMD 2650,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_2650.jpg
Intel Core i7-11700KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_11700kf.jpg
Intel Core i3-4150,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_4150.jpg
Intel Core i7-11700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_11700.jpg
Intel Core Ultra 5 245KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_ultra_5_245kf.jpg
Intel Core i7-6950X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_6950x.jpg
Intel Core i5-7600K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_7600k.webp
AMD Ryzen 5 3500,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3500.jpg
Intel Core i3-13100,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_13100.jpg
Intel Core i9-11900KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_11900kf.jpg
AMD Ryzen 7 1700X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_1700x.jpg
AMD Ryzen 7 3800XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_3800xt.jpg
Intel Core i7-13700,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_13700.jpg
AMD Ryzen 3 3300X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_3300x.jpg
Intel Core i9-14900F,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i9_14900f.jpg
AMD Ryzen 7 1800X,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_7_1800x.jpg
AMD Ryzen 5 3600XT,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_3600xt.jpg
Intel Core i5-4570,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_4570.jpg
Intel Core i5-11600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_11600kf.jpg
Intel Core i5-2400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_2400.jpg
Intel Core i5-9600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_9600kf.jpg
Intel Core i5-9400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_9400.jpg
Intel Core i3-10105,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i3_10105.jpg
Intel Core i5-4460,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_4460.jpg
AMD Ryzen 3 1200 (14nm),,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_3_1200__14nm_.jpg
Intel Core i5-10600KF,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_10600kf.jpg
AMD Ryzen 5 1400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_amd_ryzen_5_1400.jpg
Intel Core i5-6400,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i5_6400.jpg
Intel Core i7-6800K,,,,,,,,,,,,1,99.00,thumbnails/master-prices_intel_core_i7_6800k.jpg
