name,price,image,speed,ram_type,modules,capacity,first_word_latency,cas_latency,price_gb,color,rating
Patriot Viper Elite 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/f1d91b98c8570d2fadf88416bf4d3083.256p.jpg,DDR4-2666,DDR4,2 x 16GB,32GB,12.003 ns,16,,Silver / Black,4.5
Lexar Ares OC 32 GB,,,DDR5-5200,DDR5,2 x 16GB,32GB,14.615 ns,38,,Black,0
GeIL Dragon RAM 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/bb1b36060c782781f9fbf2e88bc65d11.256p.jpg,DDR4-4000,DDR4,2 x 4GB,8GB,9.5 ns,19,,White / Gold,0
Gloway LYSB01EHFW722-ELECTRNCS 8 GB,,,DDR4-2400,DDR4,1 x 8GB,8GB,13.333 ns,16,,Black / White,4.5
Acer Predator Hermes RGB 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/c8442dba16c40ff62c5b2cc32aae31f0.256p.jpg,DDR5-6800,DDR5,2 x 16GB,32GB,9.412 ns,32,,White,0
Samsung M471A1K43BB1-CRC 8 GB,,,DDR4-2400,DDR4,1 x 8GB,8GB,14.167 ns,17,,Green,0
Patriot Signature Premium 8 GB,285.12,https://cdna.pcpartpicker.com/static/forever/images/product/ac4561a2d41601004a852798526bb606.256p.jpg,DDR4-2400,DDR4,2 x 4GB,8GB,14.167 ns,17,£35.640,Black,4.5
Kingston FURY Beast 4 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/cbff70f75b5d67c6c28fce5086628059.256p.jpg,DDR4-3200,DDR4,1 x 4GB,4GB,10 ns,16,,Black,0
Crucial CT8G4RFS4213 8 GB,198.86,https://cdna.pcpartpicker.com/static/forever/images/product/9d43be724b6824780bd471089e5d0d19.256p.jpg,DDR4-2133,DDR4,1 x 8GB,8GB,14.065 ns,15,£24.858,Black / Green,0
G.Skill Flare X 32 GB,386,https://cdna.pcpartpicker.com/static/forever/images/product/69ce8b3f0bc80257d64783b143912e4e.256p.jpg,DDR4-3200,DDR4,4 x 8GB,32GB,10 ns,16,£12.062,Black,0
Apacer Panther Silver 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ef5b766f7413ca3e187128ae376fcf65.256p.jpg,DDR4-2400,DDR4,2 x 8GB,16GB,13.333 ns,16,,Black / Silver,0
ADATA AD4U2400W4G17-S 4 GB,,,DDR4-2400,DDR4,1 x 4GB,4GB,14.167 ns,17,,Green / Black,0
GeIL SUPER LUCE RGB SYNC 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/b02c63c4e41a010f7f8c8ecbde0bec24.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,,Black,4.5
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/ecab01337668494e25ef71710006a492.256p.jpg,DDR4-3600,DDR4,2 x 16GB,32GB,10.556 ns,19,,Black / Gold,5
Kingston HyperX Fury 64 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/39c13e76e32947f7cae1b3e61af36df6.256p.jpg,DDR4-3600,DDR4,2 x 32GB,64GB,10 ns,18,,Black / Silver,5
ADATA XPG GAMMIX D45 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/58f02a71c0aa3c68cae04957b9774b04.256p.jpg,DDR4-3200,DDR4,2 x 8GB,16GB,10 ns,16,,Black,5
GeIL Polaris RGB 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/b846672b1da29d4f707d21dbd0080f85.256p.jpg,DDR5-6000,DDR5,2 x 16GB,32GB,12.667 ns,38,,Black,0
ADATA XPG SPECTRIX D35G RGB 64 GB,499.46,https://cdna.pcpartpicker.com/static/forever/images/product/a9d02cfcd406dde2eaf9985255f5732c.256p.jpg,DDR4-3200,DDR4,2 x 32GB,64GB,10 ns,16,£7.804,Black,0
Crucial Ballistix Sport LT 4 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/9a1a16cf3b51901129ce8045f98dfbc2.256p.jpg,DDR4-2400,DDR4,1 x 4GB,4GB,13.333 ns,16,,Red,4
Kingston KTL-TS421/16G 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/b26d35701fa92b4330a8551d1481b360.256p.jpg,DDR4-2133,DDR4,1 x 16GB,16GB,14.065 ns,15,,Green,0
Samsung M393A4K40CB2-CTD 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/f8fd6aee5674e4df5a229111d5da2ab0.256p.jpg,DDR4-2666,DDR4,1 x 32GB,32GB,14.254 ns,19,,Green / Black,5
ADATA XPG GAMMIX D10 64 GB,,,DDR4-3000,DDR4,4 x 16GB,64GB,10.667 ns,16,,Red / White,0
Kingston HyperX Fury RGB 8 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/f8bc6957771de1b41633da7a7eace5f7.256p.jpg,DDR4-3200,DDR4,1 x 8GB,8GB,10 ns,16,,Black,4
G.Skill Trident Z Royal Elite 16 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/4ba8064ef8f2eb07464d4c5a7362a113.256p.jpg,DDR4-5333,DDR4,2 x 8GB,16GB,8.251 ns,22,,Gold,0
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,,https://cdna.pcpartpicker.com/static/forever/images/product/5b045906f183e964bb7eea6ed5995507.256p.jpg,DDR4-3200,DDR4,2 x 16GB,32GB,10 ns,16,,Black / Gold,5
