web_scraper_order,web_scraper_start_url,pagination,name,protocol,interface,rating,price,color,name3,price2,interface2,color2,protocol2,name2,name4
"1784222835-75","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TXE70UH","ProtocolWi-Fi 6E","InterfaceUSB Type-A 3.2 Gen 1","(0)","£52.25Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/36ed645c2cb8a39ec58d8cd34e4991ec.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/36ed645c2cb8a39ec58d8cd34e4991ec.256p.jpg"
"1784222835-76","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T8E","ProtocolWi-Fi 5","InterfacePCIe x1","(12)","Add","Color","(12)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/51cqINj2SoL.jpg","https://m.media-amazon.com/images/I/51cqINj2SoL.jpg"
"1784222835-77","https://uk.pcpartpicker.com/products/wireless-network-card/","","BrosTrend AC5","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(10)","Add","ColorBlack","(10)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/21Y3hStoa8L.jpg","https://m.media-amazon.com/images/I/21Y3hStoa8L.jpg"
"1784222835-78","https://uk.pcpartpicker.com/products/wireless-network-card/","","MSI AX905C","ProtocolWi-Fi 6","InterfacePCIe x1","(1)","Add","ColorBlack","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/94b48b28c568ff4ce4108ae8e1f9164b.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/94b48b28c568ff4ce4108ae8e1f9164b.256p.jpg"
"1784222835-79","https://uk.pcpartpicker.com/products/wireless-network-card/","","Asus PCE-N15","ProtocolWi-Fi 4","InterfacePCIe x1","(85)","Add","Color","(85)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/7c8a14d019d8abdb71e4497057f66553.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/7c8a14d019d8abdb71e4497057f66553.256p.jpg"
"1784222835-80","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer TX21UH","ProtocolWi-Fi 6","InterfaceUSB Type-A 3.2 Gen 1","(2)","£51.62Add","ColorSilver / Black","(2)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/3d86ed97c8b274c3885fd707ea8a035c.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/3d86ed97c8b274c3885fd707ea8a035c.256p.jpg"
"1784222835-81","https://uk.pcpartpicker.com/products/wireless-network-card/","","Gigabyte GC-WB867D-I","ProtocolWi-Fi 5","InterfacePCIe x1","(180)","Add","Color","(180)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/41i+EzorYkL.jpg","https://m.media-amazon.com/images/I/41i+EzorYkL.jpg"
"1784222835-82","https://uk.pcpartpicker.com/products/wireless-network-card/","","Rosewill RNX-AC1200PCE","ProtocolWi-Fi 5","InterfacePCIe x1","(2)","Add","Color","(2)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/31P46yNNETL.jpg","https://m.media-amazon.com/images/I/31P46yNNETL.jpg"
"1784222835-83","https://uk.pcpartpicker.com/products/wireless-network-card/","","Intel 7260","ProtocolWi-Fi 5","InterfaceMini-PCIe","(1)","£38.59Add","Color","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/aedc015730951e2c64ebffb39d20f029.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/aedc015730951e2c64ebffb39d20f029.256p.jpg"
"1784222835-84","https://uk.pcpartpicker.com/products/wireless-network-card/","","EDUP EP-9651GS","ProtocolWi-Fi 6E","InterfacePCIe x1","(5)","Add","ColorBlack","(5)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/419DFmhEftL.jpg","https://m.media-amazon.com/images/I/419DFmhEftL.jpg"
"1784222835-85","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link Archer T4U Plus","ProtocolWi-Fi 5","InterfaceUSB Type-A 3.2 Gen 1","(1)","£41.16Add","Color","(1)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/389e1b9b1e9780bd927e7963838e3b7f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/389e1b9b1e9780bd927e7963838e3b7f.256p.jpg"
"1784222835-86","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link TL-WN851ND","ProtocolWi-Fi 4","InterfacePCI","(16)","Add","Color","(16)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/bde86bd496c2b0c63706c86e868a2270.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/bde86bd496c2b0c63706c86e868a2270.256p.jpg"
"1784222835-87","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link TL-WN722N","ProtocolWi-Fi 4","InterfaceUSB Type-A 2.0","(21)","£22.21Add","Color","(21)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/c4d3e2e8faad92c2b33ff1123e08bbf1.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/c4d3e2e8faad92c2b33ff1123e08bbf1.256p.jpg"
"1784222835-88","https://uk.pcpartpicker.com/products/wireless-network-card/","","fenvi FV-T919","ProtocolWi-Fi 5","InterfacePCIe x1","(3)","Add","ColorBlack / Gold","(3)","Add","Interface","Color","Protocol","https://m.media-amazon.com/images/I/51WXXEGfddL.jpg","https://m.media-amazon.com/images/I/51WXXEGfddL.jpg"
"1784222835-89","https://uk.pcpartpicker.com/products/wireless-network-card/","","Hawking Technology HW12ACU","ProtocolWi-Fi 5","InterfaceUSB Type-A 2.0","(0)","Add","ColorBlack","(0)","Add","Interface","Color","Protocol","https://cdna.pcpartpicker.com/static/forever/images/product/99525d2c94fe1b45be51cfaf8691489f.256p.jpg","https://cdna.pcpartpicker.com/static/forever/images/product/99525d2c94fe1b45be51cfaf8691489f.256p.jpg"
"1784222835-90","https://uk.pcpartpicker.com/products/wireless-network-card/","","TP-Link TL-WN951N","ProtocolWi-Fi 4","InterfacePCI","(15)","Add","Color","(15)","Add","Interface","Color","Protocol","https://images-na.ssl-images-amazon.com/images/I/41GpoViYorL.jpg","https://images-na.ssl-images-amazon.com/images/I/41GpoViYorL.jpg"
"1784222835-91","https://uk.pcpartpicker.com/products/wireless-network-card/","","fenvi FV-AXE3000","ProtocolWi-Fi 6","InterfacePCIe x1","(0)","Add","ColorRed / Black","(0)","Add","Interface","Color","Protocol","https://uk.pcpartpicker.com/static/forever/img/no-image.png",""
