name,price,image,socket,form_factor,memory_max,memory_slots,color,rating
Gigabyte A520M DS3H V2,54.99,https://cdna.pcpartpicker.com/static/forever/images/product/0090b895d648338f39bc35ccaa60ca67.256p.jpg,AM4,Micro ATX,128 GB,4,Gray / Brown,4.5
MSI B760 GAMING PLUS WIFI,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg,LGA1700,ATX,192 GB,4,Black / Silver,4.5
MSI B850 GAMING PLUS WIFI,144.95,https://cdna.pcpartpicker.com/static/forever/images/product/2bbb6b8dc2a1b1dbd36d70f7733677f3.256p.jpg,AM5,ATX,256 GB,4,Silver / Black,4.5
MSI B760 GAMING PLUS WIFI DDR4,144.95,https://cdna.pcpartpicker.com/static/forever/images/product/1185025125d45ddfcc03516e4b54b199.256p.jpg,LGA1700,ATX,128 GB,4,Black / Silver,4
Asus ROG CROSSHAIR X870E HERO,477.99,https://cdna.pcpartpicker.com/static/forever/images/product/308921dd82c7029537edd075cf518569.256p.jpg,AM5,ATX,256 GB,4,Black,4
Asus PRIME A620A-PLUS WIFI,107.99,https://cdna.pcpartpicker.com/static/forever/images/product/25073433276e2d87533500fa52d9daab.256p.jpg,AM5,ATX,256 GB,4,Black / Silver,0
ASRock Phantom Gaming X870E Nova WiFi,298.94,https://cdna.pcpartpicker.com/static/forever/images/product/eaa95c0e62803b458f2f0d163dfffa91.256p.jpg,AM5,ATX,256 GB,4,Black / Purple,4.5
MSI X870E GAMING PLUS WIFI,179.99,,AM5,ATX,256 GB,4,Black,3.5
Asus ROG CROSSHAIR X870E HERO BTF,526,https://cdna.pcpartpicker.com/static/forever/images/product/7ef93e079182741ba6097774e6184d29.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Asus TUF GAMING B650E-E WIFI,145.47,https://cdna.pcpartpicker.com/static/forever/images/product/6e091a3954e7ac61e63a226aced54d9b.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Asus TUF GAMING X870-PLUS WIFI,205.19,https://cdna.pcpartpicker.com/static/forever/images/product/0817e1eae7204d437ef0084b49c0c855.256p.jpg,AM5,ATX,192 GB,4,Black,4
Gigabyte B850M AORUS ELITE WIFI6E ICE,171.94,https://cdna.pcpartpicker.com/static/forever/images/product/0b600a0ada98f511e01e72c821404686.256p.jpg,AM5,Micro ATX,256 GB,4,White / Silver,4
ASRock B550M-HDV,65.9,https://cdna.pcpartpicker.com/static/forever/images/product/f50779cfddeda830b0af852915702a00.256p.jpg,AM4,Micro ATX,64 GB,2,Black,4
Asus PRIME B550-PLUS AC-HES,140.05,https://cdna.pcpartpicker.com/static/forever/images/product/d1cc901f52eef99cab0cc4d4255401ea.256p.jpg,AM4,ATX,128 GB,4,Silver / Black,4.5
ASRock A520M-ITX/ac,93.99,https://cdna.pcpartpicker.com/static/forever/images/product/940a04508f4187af83971871163c4f19.256p.jpg,AM4,Mini ITX,64 GB,2,Black / Silver,4
MSI B760M GAMING PLUS WIFI,109.99,https://cdna.pcpartpicker.com/static/forever/images/product/96638c2881bd646987778b312655d859.256p.jpg,LGA1700,Micro ATX,192 GB,4,Black / Silver,4.5
MSI B450 TOMAHAWK MAX,,https://cdna.pcpartpicker.com/static/forever/images/product/0a8a0ca77620c63b68fec6323537d50a.256p.jpg,AM4,ATX,128 GB,4,Black,4.5
Gigabyte B550M DS3H R2,75.99,https://cdna.pcpartpicker.com/static/forever/images/product/e501e4c130b02dc46f34e25335339e50.256p.jpg,AM4,Micro ATX,128 GB,4,Black,4
MSI Z890 GAMING PLUS WIFI,209.99,https://cdna.pcpartpicker.com/static/forever/images/product/09616b3a79d984fcecbcc06409660931.256p.jpg,LGA1851,ATX,256 GB,4,Black,5
Asus TUF GAMING A520M-PLUS WIFI,74.48,https://cdna.pcpartpicker.com/static/forever/images/product/e17b78b80ad50c2c96668bb12c1f190e.256p.jpg,AM4,Micro ATX,128 GB,4,Black / Orange,4
ASRock X870E Taichi,393.31,https://cdna.pcpartpicker.com/static/forever/images/product/23ef2a9c06fcdba69a77129c3df09ee6.256p.jpg,AM5,EATX,256 GB,4,Black,4.5
Gigabyte B650I AX,129.94,https://cdna.pcpartpicker.com/static/forever/images/product/84541ae6fccab36ca43f3d19efa9cae2.256p.jpg,AM5,Mini ITX,96 GB,2,Black,4.5
ASRock A620AM-X,84.93,https://cdna.pcpartpicker.com/static/forever/images/product/162bc2113d47478aa0465769effe2ca4.256p.jpg,AM5,Micro ATX,128 GB,2,Black,0
ASRock B850M Pro RS WiFi,119.9,,AM5,Micro ATX,256 GB,4,Silver / Black,4.5
ASRock B860M Pro-A WiFi,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/031ef52033c32c65736b49587d067864.256p.jpg,LGA1851,Micro ATX,256 GB,4,Black,5
