name,price,image,type,frequency_response,microphone,wireless,enclosure_type,color,rating
Razer Barracuda Pro,261.94,https://cdna.pcpartpicker.com/static/forever/images/product/c343a585d5d9741717533eae847c48d6.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Razer Barracuda X Chroma,126.48,https://cdna.pcpartpicker.com/static/forever/images/product/07ac0aecee45730cd17c31b91beae543.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Sennheiser HDB 630,,https://cdna.pcpartpicker.com/static/forever/images/product/300840c82e9832bcdf54e172172f6665.256p.jpg,Circumaural,6 Hz - 40 kHz,No,Yes,Closed,Black,0
Corsair HS80 RGB,139.98,https://cdna.pcpartpicker.com/static/forever/images/product/606675de5d3a4bafa83ae58470a421a0.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,4
SteelSeries Arctis Nova 7,167.01,https://cdna.pcpartpicker.com/static/forever/images/product/ec2c00c27ba9c62b94b536e94d970ace.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black,4.5
Turtle Beach Stealth 700 Gen 2 MAX,118.97,Circumaural,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black / Silver,5
Sennheiser HD 599,189.95,https://cdna.pcpartpicker.com/static/forever/images/product/fef5c4aa6e302fe648bb9b5d9aa02968.256p.jpg,Circumaural,12 Hz - 38.5 kHz,No,No,Open,White / Brown,4.5
JBL Quantum 100,39.95,https://cdna.pcpartpicker.com/static/forever/images/product/27407d33fe0ca6a7b81178845be2eb3c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,4
SteelSeries Arctis Pro,161.16,https://cdna.pcpartpicker.com/static/forever/images/product/6254ffa40ba39f7430a0bac0ed9685f9.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,No,Closed,Black,4
Philips SHP9500,84.99,https://cdna.pcpartpicker.com/static/forever/images/product/0c13d11c5340b0f9046a76d52c32bf02.256p.jpg,Circumaural,12 Hz - 35 kHz,No,No,Open,Black,4.5
Corsair HS65 SURROUND,69.98,https://cdna.pcpartpicker.com/static/forever/images/product/71173beea73b5395cf2cdd22451dabb2.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,5
Razer BlackShark V2 HyperSpeed,119.6,https://cdna.pcpartpicker.com/static/forever/images/product/9954979109fc80e014ebec85a4dfeaf7.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black,4
SteelSeries Arctis Nova 1P,42.99,https://cdna.pcpartpicker.com/static/forever/images/product/8d9ba0f11f962eca6a4607acc0b307a3.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,White,5
MCHOSE V9 Pro,,https://cdna.pcpartpicker.com/static/forever/images/product/09a82e31f712a29784d27a946c1656aa.256p.jpg,Circumaural,true,Yes,Yes,Closed,Black,0
Fractal Design Scape,158.99,https://cdna.pcpartpicker.com/static/forever/images/product/9691b77d1f528454619818050d275ade.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,0
Skullcandy Crusher,74.99,https://cdna.pcpartpicker.com/static/forever/images/product/ed6ccd6c7e88b57362655bf30272acbc.256p.jpg,Circumaural,20 Hz - 20 kHz,No,Yes,Closed,Black,5
Razer Kraken V4 X,64.87,https://cdna.pcpartpicker.com/static/forever/images/product/1487a18041e36567019f5f44c1e9fdba.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Open,Black,0
SteelSeries Arctis Nova Pro,215.47,https://cdna.pcpartpicker.com/static/forever/images/product/23c658e3073d979515398f4726b2f3b5.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,No,Closed,Black,0
Anker Soundcore Life Q30,44.99,https://cdna.pcpartpicker.com/static/forever/images/product/fda9bb6f85d16e99070ead70d1fe5405.256p.jpg,Circumaural,16 Hz - 40 kHz,Yes,Yes,Closed,Black,0
